,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
theta_69,0.04161037191250084,0.022962462725602047,0.22321775917169612,0.28247177568943976,0.11996131193323074,0.24164773057121283,0.0653925451129695,0.387226183183171,0.2186039404672771,0.338329128211067
theta_70,0.34496232607562805,-0.00955312475874279,0.15950138183085524,-0.01484976024928504,0.0996045759522835,0.11309349661521925,0.40641945746349184,-0.07406329473518836,0.3098975632258207,0.11355559818093205
theta_71,0.28082083847033046,0.3458028966906516,0.08318329405307237,0.2417921038262524,-0.03889460865360167,0.2461050577567939,0.08582945576184137,0.14164753654488985,0.18722406303259384,0.017748947462108432
theta_72,0.29075542976326046,0.1270494171237995,0.15223981146519386,0.048728573247637366,0.20849059439001325,-0.07455585348313065,0.18352792052975397,0.2504803577088919,-0.055752923724747515,0.3350520826189306
theta_73,0.3547239757598226,0.40972387820670836,0.22856993151374727,0.0057923812580690315,-0.009192453391352485,0.14640278048952304,0.22983159613221218,-0.07337830024369585,0.0055497048085658505,-0.025485225114011693
theta_74,-0.021148470921426247,-0.003623270950101063,0.30265550015419934,0.12992956123678864,0.31831082918739434,0.15265924719002438,0.2599593658721321,-0.11187147508295073,0.2557386119157103,0.051734041383828096
theta_75,0.08985491535590702,0.1884377515187711,0.10761552750744655,0.009899596421741047,0.15651339041580134,0.14863210681202788,0.026975386744100334,0.06134432202026415,0.35688028504171165,0.016753706403179695
theta_76,0.37350833725545424,0.21681684872442417,0.5230784225571667,0.19979272094762937,0.2903324170978674,0.09851245030945997,0.42321853233097434,-0.030370178570866203,0.44792646026921806,0.2923854847699979
theta_77,0.16529150281055124,0.44584388175164386,0.24170471400606555,0.08752107192356157,0.3821336927173705,0.28013524033298753,0.27587413531397853,0.1742239658173554,0.20488417544905596,0.06797015378197958
theta_78,0.19680007090812102,0.1975197733785531,0.22445591194603706,0.4809501335082638,0.23044210238851504,0.11226524161334077,0.13512744768298462,0.15873735182503587,0.4602458657413118,0.3293945110081081
theta_79,0.18474607045032296,0.3704309929025624,0.213071502283506,0.364505235231717,0.1612574333078636,0.4333874566447532,0.3405682759938338,0.30009029281703276,0.43244002635564,0.010820425353241007
theta_80,0.06722932041579478,0.45208688226702204,0.058958973936480794,0.19992152105673036,0.4404173301888008,0.1335711688792798,0.3907938805766655,0.23937009467288542,0.4013714679788235,0.25430273772588224
theta_81,0.057028983386006336,0.043555226537537205,0.2855111385323894,0.10226725698279743,0.05812010816815522,0.08815258450731138,0.126487469853485,0.23150239771365114,0.3688663231231271,0.2870184195520191
theta_82,0.27996411828361156,0.469253459092622,0.46352757775180564,0.4960691454144691,0.08607656969068031,0.2669242219510109,0.18667024307239655,0.22257070881397462,0.04564158476221684,0.3556543906668447
theta_83,0.2518807875379943,0.1860120655093965,0.2539189211210608,0.23081253521555234,0.38234416463234944,0.34523962833912275,0.11824768675551368,0.06521527407528727,0.1566606797338947,0.1986014189438191
theta_84,0.03188755077941894,0.0343934868478165,0.18077726809279537,0.3530978947606329,0.04428503960568354,0.19991329515533096,0.4235849845948651,0.4355417846856888,-0.04719372860328187,-0.026199108299298567
theta_85,0.27961122890047935,-0.025313732740893727,0.34031448407516657,-0.005615503162520693,-0.03269854033187604,0.26960036929999154,0.08680270501387513,-0.03737024091108952,0.12817028195711805,-0.028479011093573293
theta_86,0.10545416151866326,-0.05579214764219205,-0.06795192406774082,0.25180317817644693,-0.003806555786781669,0.2953562637078309,0.205886648536662,0.11764276837357175,0.2877177184623422,0.1862468842319237
theta_87,-0.10867593177491734,0.11009532661525953,0.30271914222409024,0.04326902583630102,-0.05296205252767228,0.0013294268413345728,0.15632363922243525,0.28086516324860666,-0.08788163623810953,-0.13602350802659552
theta_88,0.23545615032824263,0.13946433049794135,0.2544034364535091,-0.05271250158043997,0.15685886496595824,0.2387065444723773,0.3350249767697383,-0.036118174593970556,0.07333457752238025,-0.11373887464307236
theta_89,-0.04073002998681344,0.015281711253815668,0.11334309288873524,0.19990975330618227,-0.0944690068899384,-0.003658789218606094,-0.07371018737400342,0.1654230186340765,-0.012450451790881696,0.1886344410174467
theta_90,0.007779918503075007,0.035101993933275344,0.12948006767873624,0.2872498079577035,0.2526375470336143,-0.009573356663090265,0.14606582486506384,0.07548047004047218,-0.027979192756905975,0.01939773983368892
theta_91,0.2112737734442869,0.1616012523994948,-0.053357398274674145,0.0902709504118878,-0.03971828896752762,-0.23354104190117175,-0.180009017781806,-0.17217318880103027,-0.21410056232742067,0.3260983908005953
theta_92,0.1645989055987725,0.32557744301932345,0.17852162213992184,0.019030097117744213,-0.0027944652819512474,0.06155869601934874,-0.1260265571514037,0.11008217902778793,-0.029504582938918257,0.35179176827611974
